lambda,V14_pu
0.0,1.1007013095144633
0.01,1.0995050287384496
0.02,1.0983030851903286
0.03,1.0970954337782781
0.04,1.095882028681496
0.05,1.0946628233348281
0.06,1.0934377704129694
0.07,1.0922068218142182
0.08,1.0909699286437708
0.09,1.0897270411965418
0.1,1.0884781089394886
0.11,1.0872230804934182
0.12,1.0859619036142867
0.13,1.0846945251739324
0.14,1.0834208911402479
0.15,1.082140946566347
0.16,1.080854635524474
0.17,1.0795619011665383
0.18,1.0782626856318025
0.19,1.0770319347273165
0.2,1.0760052051563898
0.21,1.0749745184279271
0.22,1.0739398484918585
0.23,1.0729011689624273
0.24,1.071858453112456
0.25,1.0708116738674742
0.26,1.069760803799715
0.27,1.0687058151219802
0.28,1.0676466796813622
0.29,1.0665833689528246
0.3,1.0655158540326184
0.31,1.0644441056315836
0.32,1.0633680940682588
0.33,1.062287789261841
0.34,1.0612031607249888
0.35,1.0601141775564464
0.36,1.0590208084334916
0.37,1.057923021604215
0.38,1.0568207849201001
0.39,1.055714065634469
0.4,1.0546028307547557
0.41,1.0534870467154842
0.42,1.0528431355144494
0.43,1.0523002809034772
0.44,1.0517562685400244
0.45,1.05121109354593
0.46,1.050664750998697
0.47,1.0501172359309494
0.48,1.0495685433298887
0.49,1.0490186681367366
0.5,1.0484676052461743
0.51,1.047915349505765
0.52,1.0473618957153676
0.53,1.0468072386265497
0.54,1.0462513729419771
0.55,1.0456942933148012
0.56,1.0451359943480383
0.57,1.0445764705939253
0.58,1.0440157165532828
0.59,1.043453726678779
0.6,1.0428904953557654
0.61,1.0423260169353337
0.62,1.0417602857048736
0.63,1.0412042091823732
0.64,1.040681431018037
0.65,1.040157620666069
0.66,1.0396327743330152
0.67,1.039106888195767
0.68,1.0385799584012592
0.69,1.0380519810661748
0.7,1.0375229522766378
0.71,1.0369928680879046
0.72,1.0364617245240555
0.73,1.0359295175776728
0.74,1.0353962432095214
0.75,1.0348618973482246
0.76,1.034326475889933
0.77,1.0337899746979888
0.78,1.0332523896025863
0.79,1.0327137164004279
0.8,1.0321739508543786
0.81,1.0316330886931067
0.82,1.0310911256107247
0.83,1.0305480572664323
0.84,1.0300038792841388
0.85,1.029458587252095
0.86,1.0289121767225078
0.87,1.0283646432111586
0.88,1.027815982197012
0.89,1.0272661891218202
0.9,1.0267152593897153
0.91,1.0261631883668108
0.92,1.0256099713807776
0.93,1.0250556037204315
0.94,1.0245000806353028
0.95,1.0239433973352066
0.96,1.023385548989799
0.97,1.0227363822085542
0.98,1.0220696311882123
0.99,1.0214011386030413
1.0,1.0207308954532643
1.01,1.0200588926489473
1.02,1.0193851210087899
1.03,1.0186729619430446
1.04,1.0169725470091533
1.05,1.0150698424632887
1.06,1.0131542622985876
1.07,1.0112256194931772
1.08,1.0092837222479671
1.09,1.0073283738136614
1.1,1.0053593723120584
1.11,1.0031717323152325
1.12,1.0000687782613504
1.13,0.9969337633703551
1.14,0.9937658574901438
1.15,0.9905641935188277
1.16,0.9873278652764192
1.17,0.9840559249629497
1.18,0.9807473804460718
1.19,0.9774011923094773
1.2,0.9740162706581172
1.21,0.970591471628387
1.22,0.9671255935882339
1.23,0.9636173729857207
1.24,0.9600654798068048
1.25,0.9564685125964058
1.26,0.9528249929904927
1.27,0.9491333596993197
1.28,0.9453919612130885
1.29,0.9415990507206187
1.3,0.9377527749943317
1.31,0.9338511671621922
1.32,0.9298921362582103
1.33,0.925873456017099
1.34,0.9217927523355056
1.35,0.917647489200876
1.36,0.913434952852748
1.37,0.9091522338976321
1.38,0.9047962070449383
1.39,0.9003635080657639
1.4,0.8958505074951311
1.41,0.8912532804972271
1.42,0.8865675721870646
1.43,0.8817887575427268
1.44,0.8769117948406038
1.45,0.8719311712878038
1.46,0.866840839192724
1.47,0.8616341405815797
1.48,0.8563037175988734
1.49,0.8508414052735951
1.5,0.8452381022175347
1.51,0.8394836134415714
1.52,0.8335664575752096
1.53,0.8274736281183782
1.54,0.8211902945850956
1.55,0.8146994239545858
1.56,0.8079812932860576
1.57,0.8010128614667509
1.58,0.7937669251618708
1.59,0.7862109910030304
1.6,0.7783057148444535
1.61,0.770002695937578
1.62,0.7612412650930803
1.63,0.7519436421313593
1.64,0.7420073202406465
1.65,0.7312924484787737
1.66,0.7195994961923449
1.67,0.7066261092701585
1.68,0.691873035499275
1.69,0.6743980720257737
1.7,0.6519322032049184
1.71,0.6132655803295097
