lambda,V14_pu
0.0,1.1003661408447376
0.01,1.0991077857820732
0.02,1.0978427092907794
0.03,1.096570853448499
0.04,1.0952921592936409
0.05,1.0940065668014092
0.06,1.0927140148590544
0.07,1.091414441240384
0.08,1.090107782579455
0.09,1.0887939743434565
0.1,1.0874729508047105
0.11,1.0861446450264238
0.12,1.084808988765697
0.13,1.0834659125612158
0.14,1.0821153456056216
0.15,1.0807572157431868
0.16,1.0794282029656317
0.17,1.0782654809148624
0.18,1.0770972801329308
0.19,1.0759235580185273
0.2,1.0747442713076516
0.21,1.0735593760600846
0.22,1.072368827645478
0.23,1.0711725807290862
0.24,1.069970589257086
0.25,1.0687628064415238
0.26,1.0675491847448113
0.27,1.0663296758638208
0.28,1.0651042307135195
0.29,1.0638727994101458
0.3,1.0626353312539214
0.31,1.0613917747112573
0.32,1.0601420773964454
0.33,1.058886186052877
0.34,1.057624046581897
0.35,1.0563556037897226
0.36,1.0550808018088702
0.37,1.0539524415945416
0.38,1.0533702257023858
0.39,1.052786520785735
0.4,1.0522013191302746
0.41,1.0516146129335169
0.42,1.051026394303457
0.43,1.0504366552572
0.44,1.0498453877195724
0.45,1.0492525835216877
0.46,1.0486582343994932
0.47,1.0480623319922804
0.48,1.0474648678411647
0.49,1.0468658333875331
0.5,1.0462652199714577
0.51,1.045663018830078
0.52,1.0450592210959386
0.53,1.0444538177953024
0.54,1.043846799851109
0.55,1.0432381580588772
0.56,1.0426278831263174
0.57,1.0420159656351915
0.58,1.0414487704568418
0.59,1.0408999314636287
0.6,1.040349862626411
0.61,1.0397985586657696
0.62,1.0392460142527022
0.63,1.038692224008014
0.64,1.0381371825017125
0.65,1.0375808842523808
0.66,1.0370233237265525
0.67,1.0364644953380637
0.68,1.0359043934473988
0.69,1.0353430123610323
0.7,1.0347803463307454
0.71,1.0342163895529415
0.72,1.0336511361679477
0.73,1.0330845802593018
0.74,1.032516715853027
0.75,1.0319475369168989
0.76,1.0313770373596904
0.77,1.0308052110304171
0.78,1.0302320517175514
0.79,1.0296575531482417
0.8,1.0290817089875006
0.81,1.0284042268529032
0.82,1.0277001995418003
0.83,1.0269940823970938
0.84,1.0262858631702436
0.85,1.025575529470277
0.86,1.0248630687615814
0.87,1.0241484683616502
0.88,1.0234317153693107
0.89,1.0227127968961056
0.9,1.021991699760865
0.91,1.0212684106651537
0.92,1.0205429161509971
0.93,1.01874954039551
0.94,1.0168897617254493
0.95,1.0150177703133987
0.96,1.0131333993898861
0.97,1.0112364778991312
0.98,1.0093268306295446
0.99,1.0074042780140995
1.0,1.0054686359786391
1.01,1.0035197157833577
1.02,1.0015573238569788
1.03,0.9995812616233036
1.04,0.9970759527573203
1.05,0.9944075458817073
1.06,0.9908454689943665
1.07,0.9871267181008483
1.08,0.9833599074912658
1.09,0.9795434539952739
1.1,0.9756756849253374
1.11,0.9717548308503178
1.12,0.967779017650854
1.13,0.9637462575194619
1.14,0.9596544393012971
1.15,0.9555013174241239
1.16,0.9512844991998889
1.17,0.9470014326756804
1.18,0.9426493891670575
1.19,0.9382254470977135
1.2,0.9337264720832645
1.21,0.9291490946466241
1.22,0.9244896848442226
1.23,0.9197443232633399
1.24,0.9149087677357857
1.25,0.9099784149689376
1.26,0.904948256112728
1.27,0.8998128250493965
1.28,0.8945661378948001
1.29,0.8892016218152945
1.3,0.8837120307606365
1.31,0.8780893450498113
1.32,0.8723246508615915
1.33,0.8664079944877193
1.34,0.8603282045759016
1.35,0.8540726733317896
1.36,0.8476270844752939
1.37,0.8409750712122226
1.38,0.8340977808861387
1.39,0.8269733131864125
1.4,0.8195759832052897
1.41,0.8118753416719239
1.42,0.8038348368569258
1.43,0.7954099573510806
1.44,0.7865455754763214
1.45,0.7771720305565775
1.46,0.767199133478967
1.47,0.7565065611325325
1.48,0.7449275656234786
1.49,0.7322192461776346
1.5,0.7180027012625027
1.51,0.7016244457691768
1.52,0.6817566166226264
1.53,0.6546352631310018
