lambda,V14_pu
0.0,1.0722051451460672
0.01,1.0717408621503037
0.02,1.071275736712779
0.03,1.0708097664500464
0.04,1.0703429489617011
0.05,1.0698752818302388
0.06,1.0694067626209234
0.07,1.0689373888816502
0.08,1.0684671581428031
0.09,1.067996067917118
0.1,1.067524115699537
0.11,1.0670512989670649
0.12,1.0665776151786273
0.13,1.0661030617749148
0.14,1.0656276361782424
0.15,1.0651513357923925
0.16,1.0646741580024632
0.17,1.0641961001747136
0.18,1.0637171596564092
0.19,1.0632373337756584
0.2,1.062756619841256
0.21,1.0622750151425195
0.22,1.0617925169491234
0.23,1.0613091225109335
0.24,1.0608248290578393
0.25,1.0603396337995825
0.26,1.0598535339255815
0.27,1.0593665266047614
0.28,1.0588786089853737
0.29,1.0583897781948186
0.3,1.0579000313394622
0.31,1.0574093655044523
0.32,1.0569177777535377
0.33,1.0564252651288706
0.34,1.0559318246508222
0.35,1.0554374533177924
0.36,1.0549421481060046
0.37,1.0544459059693168
0.38,1.0539487238390168
0.39,1.053450598623622
0.4,1.0529515272086687
0.41,1.0524515064565108
0.42,1.0519505332061025
0.43,1.0514486042727906
0.44,1.050945716448093
0.45,1.050441866499484
0.46,1.04993705117017
0.47,1.049431267178865
0.48,1.0489245112195646
0.49,1.048416779961315
0.5,1.0479080700479777
0.51,1.0473983780979936
0.52,1.0468877007041457
0.53,1.0463760344333155
0.54,1.0458633758262343
0.55,1.045349721397237
0.56,1.0448350676340077
0.57,1.0443194109973293
0.58,1.043802747920816
0.59,1.0432850748106552
0.6,1.0427663880453435
0.61,1.0422466839754132
0.62,1.041725958923161
0.63,1.0412042091823732
0.64,1.040681431018037
0.65,1.040157620666069
0.66,1.0396327743330152
0.67,1.039106888195767
0.68,1.0385799584012592
0.69,1.0380519810661748
0.7,1.0375229522766378
0.71,1.0369928680879046
0.72,1.0364617245240555
0.73,1.0359295175776728
0.74,1.0353962432095214
0.75,1.0348618973482246
0.76,1.034326475889933
0.77,1.0337899746979888
0.78,1.0332523896025863
0.79,1.0327137164004279
0.8,1.0321739508543786
0.81,1.0316330886931067
0.82,1.0310911256107247
0.83,1.0305480572664323
0.84,1.0300038792841388
0.85,1.029458587252095
0.86,1.0289121767225078
0.87,1.0283646432111586
0.88,1.027815982197012
0.89,1.0272661891218202
0.9,1.0267152593897153
0.91,1.0261631883668108
0.92,1.0256099713807776
0.93,1.0250556037204315
0.94,1.0245000806353028
0.95,1.0239433973352066
0.96,1.023385548989799
0.97,1.0228265307281408
0.98,1.0222663376382355
0.99,1.0217049647665775
1.0,1.0211424071176838
1.01,1.0205786596536235
1.02,1.0200137172935355
1.03,1.019447574913143
1.04,1.0188802273442612
1.05,1.0183116693742922
1.06,1.0177418957457187
1.07,1.0171709011555852
1.08,1.0165986802549736
1.09,1.0160252276484714
1.1,1.015450537893629
1.11,1.0148746055004076
1.12,1.0142974249306271
1.13,1.0137189905973945
1.14,1.0131392968645283
1.15,1.0125583380459784
1.16,1.0119761084052248
1.17,1.0113926021546802
1.18,1.0108078134550735
1.19,1.0102217364148312
1.2,1.0096343650894395
1.21,1.0090456934808043
1.22,1.0084557155366007
1.23,1.0078644251496047
1.24,1.0072718161570202
1.25,1.0066778823397942
1.26,1.0060826174219235
1.27,1.0054860150697382
1.28,1.0048880688911932
1.29,1.0042887724351282
1.3,1.003688119190526
1.31,1.0030861025857614
1.32,1.0024827159878245
1.33,1.0018779527015487
1.34,1.0012718059688075
1.35,1.000664268967713
1.36,1.0000553348117915
1.37,0.9994449965491494
1.38,0.99883324716162
1.39,0.9982200795639034
1.4,0.9976054866026859
1.41,0.9969894610557463
1.42,0.9963719956310448
1.43,0.9957530829657975
1.44,0.995132715625535
1.45,0.9945108861031448
1.46,0.9938875868178978
1.47,0.9932628101144492
1.48,0.9926365482618384
1.49,0.9920087934524517
1.5,0.9913795378009836
1.51,0.9907487733433666
1.52,0.9901164920356896
1.53,0.9894826857530931
1.54,0.9888473462886447
1.55,0.9882104653521955
1.56,0.9875720345692173
1.57,0.9869320454796104
1.58,0.9862904895364987
1.59,0.9856473581049978
1.6,0.9850026424609599
1.61,0.9843563337896971
1.62,0.9837084231846835
1.63,0.9830589016462195
1.64,0.9824077600800922
1.65,0.9817549892961887
1.66,0.981100580007101
1.67,0.9804445228266906
1.68,0.979786808268632
1.69,0.9791274267449285
1.7,0.978466368564394
1.71,0.9778036239311139
1.72,0.9771391829428653
1.73,0.9764730355895159
1.74,0.9758051717513797
1.75,0.9751355811975574
1.76,0.9744642535842215
1.77,0.9737911784528894
1.78,0.9731163452286419
1.79,0.9724397432183215
1.8,0.971761361608685
1.81,0.9710811894645164
1.82,0.9703992157267136
1.83,0.9697154292103208
1.84,0.9690298186025286
1.85,0.9683423724606316
1.86,0.9676530792099395
1.87,0.9669619271416495
1.88,0.9662689044106731
1.89,0.9655739990334078
1.9,0.9648771988854751
1.91,0.9641784916994014
1.92,0.9634778650622504
1.93,0.9627753064132031
1.94,0.9620708030410924
1.95,0.9613643420818709
1.96,0.9606559105160377
1.97,0.9599454951659927
1.98,0.9592330826933506
1.99,0.9585186595961763
2.0,0.957802212206172
2.01,0.9570837266857943
2.02,0.9563631890253084
2.03,0.9556405850397734
2.04,0.9549159003659613
2.05,0.9541891204592016
2.06,0.9534602305901585
2.07,0.9527292158415241
2.08,0.9519960611046461
2.09,0.9512607510760642
2.1,0.9505232702539743
2.11,0.9497836029346056
2.12,0.9490417332085056
2.13,0.9482976449567448
2.14,0.9475513218470262
2.15,0.9468027473296977
2.16,0.9460519046336686
2.17,0.9452987767622318
2.18,0.9445433464887718
2.19,0.943785596352374
2.2,0.9430255086533248
2.21,0.9422630654484919
2.22,0.9414982485465978
2.23,0.9407310395033615
2.24,0.9399614196165272
2.25,0.9391893699207587
2.26,0.9384148711824033
2.27,0.9376379038941188
2.28,0.9368584482693633
2.29,0.936076484236736
2.3,0.9352919914341674
2.31,0.9345049492029619
2.32,0.9337153365816695
2.33,0.932923132299806
2.34,0.9321283147713897
2.35,0.9313308620883065
2.36,0.9305307519832756
2.37,0.9297279619403688
2.38,0.9289224690161961
2.39,0.9281142499440039
2.4,0.9273032810988692
2.41,0.926489538489878
2.42,0.9256729977520701
2.43,0.9248536341381638
2.44,0.9240314225100281
2.45,0.9232063373299201
2.46,0.9223783526514528
2.47,0.9215474421103097
2.48,0.920713578914667
2.49,0.9198767358353459
2.5,0.9190368851956559
