lambda,V14_pu
0.0,1.071335264365553
0.01,1.0708501602706335
0.02,1.0703640640587624
0.03,1.0698769725611108
0.04,1.0693888825819555
0.05,1.0688997908984326
0.06,1.0684096942602876
0.07,1.067918589389618
0.08,1.0674264729806189
0.09,1.0669333416993139
0.1,1.0664391921832939
0.11,1.065944021041445
0.12,1.0654478248536758
0.13,1.0649506001706361
0.14,1.0644523435134392
0.15,1.0639530513733704
0.16,1.063452720211603
0.17,1.0629513464588989
0.18,1.0624489265153076
0.19,1.0619454567498694
0.2,1.0614409335003012
0.21,1.0609353530726873
0.22,1.0604287117411622
0.23,1.0599210057475845
0.24,1.0594122313012178
0.25,1.0589023845783905
0.26,1.0583914617221672
0.27,1.0578794588420006
0.28,1.057366372013388
0.29,1.056852197277519
0.3,1.056336930640919
0.31,1.0558205680750823
0.32,1.0553031055161108
0.33,1.054784538864332
0.34,1.0542648639839258
0.35,1.0537440767025368
0.36,1.053222172810883
0.37,1.0526991480623569
0.38,1.0521749981726256
0.39,1.051649718819217
0.4,1.0511233056411071
0.41,1.050595754238294
0.42,1.0500670601713742
0.43,1.0495372189610979
0.44,1.0490062260879345
0.45,1.0484740769916192
0.46,1.047940767070695
0.47,1.0474062916820528
0.48,1.0468706461404542
0.49,1.046333825718058
0.5,1.0457958256439286
0.51,1.0452566411035455
0.52,1.0447162672382992
0.53,1.0441746991449778
0.54,1.043631931875255
0.55,1.0430879604351544
0.56,1.04254277978452
0.57,1.0419963848364702
0.58,1.0414487704568418
0.59,1.0408999314636287
0.6,1.040349862626411
0.61,1.0397985586657696
0.62,1.0392460142527022
0.63,1.038692224008014
0.64,1.0381371825017125
0.65,1.0375808842523808
0.66,1.0370233237265525
0.67,1.0364644953380637
0.68,1.0359043934473988
0.69,1.0353430123610323
0.7,1.0347803463307454
0.71,1.0342163895529415
0.72,1.0336511361679477
0.73,1.0330845802593018
0.74,1.032516715853027
0.75,1.0319475369168989
0.76,1.0313770373596904
0.77,1.0308052110304171
0.78,1.0302320517175514
0.79,1.0296575531482417
0.8,1.0290817089875006
0.81,1.0285045128373942
0.82,1.0279259582362021
0.83,1.0273460386575746
0.84,1.026764747509666
0.85,1.02618207813426
0.86,1.0255980238058684
0.87,1.0250125777308283
0.88,1.0244257330463644
0.89,1.0238374828196526
0.9,1.0232478200468524
0.91,1.0226567376521303
0.92,1.022064228486656
0.93,1.021470285327591
0.94,1.0208749008770466
0.95,1.0202780677610321
0.96,1.0196797785283755
0.97,1.0190800256496295
0.98,1.0184788015159518
0.99,1.017876098437971
1.0,1.0172719086446151
1.01,1.0166662242819389
1.02,1.0160590374119116
1.03,1.0154503400111898
1.04,1.0148401239698588
1.05,1.014228381090158
1.06,1.0136151030851763
1.07,1.0130002815775163
1.08,1.012383908097944
1.09,1.0117659740840006
1.1,1.0111464708785916
1.11,1.0105253897285464
1.12,1.0099027217831473
1.13,1.0092784580926295
1.14,1.0086525896066505
1.15,1.008025107172725
1.16,1.0073960015346333
1.17,1.0067652633307922
1.18,1.0061328830925904
1.19,1.0054988512426897
1.2,1.0048631580932965
1.21,1.004225793844389
1.22,1.0035867485819059
1.23,1.0029460122759035
1.24,1.0023035747786675
1.25,1.0016594258227849
1.26,1.001013555019173
1.27,1.000365951855068
1.28,0.999716605691967
1.29,0.9990655057635254
1.3,0.9984126411734063
1.31,0.9977580008930819
1.32,0.997101573759589
1.33,0.9964433484732276
1.34,0.9957833135952129
1.35,0.9951214575452707
1.36,0.9944577685991772
1.37,0.993792234886245
1.38,0.9931248443867453
1.39,0.9924555849292765
1.4,0.9917844441880673
1.41,0.991111409680215
1.42,0.9904364687628616
1.43,0.9897596086302994
1.44,0.9890808163110112
1.45,0.988400078664632
1.46,0.987717382378846
1.47,0.9870327139662024
1.48,0.9863460597608495
1.49,0.9856574059151997
1.5,0.9849667383964983
1.51,0.9842740429833153
1.52,0.9835793052619498
1.53,0.9828825106227321
1.54,0.9821836442562496
1.55,0.9814826911494593
1.56,0.9807796360817115
1.57,0.9800744636206634
1.58,0.9793671581180942
1.59,0.9786577037056006
1.6,0.9779460842901856
1.61,0.977232283549731
1.62,0.9765162849283442
1.63,0.9757980716315835
1.64,0.9750776266215492
1.65,0.9743549326118529
1.66,0.9736299720624338
1.67,0.9729027271742458
1.68,0.9721731798837839
1.69,0.971441311857472
1.7,0.9707071044858788
1.71,0.9699705388777845
1.72,0.9692315958540645
1.73,0.9684902559414087
1.74,0.9677464993658514
1.75,0.9670003060461171
1.76,0.966251655586775
1.77,0.9655005272711847
1.78,0.9647469000542354
1.79,0.9639907525548674
1.8,0.9632320630483754
1.81,0.9624708094584654
1.82,0.9617069693490816
1.83,0.9609405199159728
1.84,0.9601714379780054
1.85,0.9593996999682004
1.86,0.9586252819244874
1.87,0.9578481594801725
1.88,0.9570683078540937
1.89,0.9562857018404679
1.9,0.9555003157984039
1.91,0.9547121236171213
1.92,0.95392109879738
1.93,0.9531272143053863
1.94,0.9523304426478534
1.95,0.95153075583853
1.96,0.9507281253854405
1.97,0.9499225222776866
1.98,0.9491139169717964
1.99,0.9483022793775904
2.0,0.9474875788435652
2.01,0.9466697841417478
2.02,0.9458488634520221
2.03,0.9450247843458799
2.04,0.9441975137695926
2.05,0.9433670180267646
2.06,0.9425332627602429
2.07,0.9416962129333538
2.08,0.9408558328104356
2.09,0.9400120859366395
2.1,0.9391649351169474
2.11,0.9383143423943954
2.12,0.9374602690274421
2.13,0.936602675466447
2.14,0.935741521329228
2.15,0.9348767653756278
2.16,0.9340083654810651
2.17,0.9331362786090062
2.18,0.9322604607822998
2.19,0.9313808670533236
2.2,0.9304974514728843
2.21,0.9296101670577935
2.22,0.9287189657570601
2.23,0.9278237984166243
2.24,0.9269246147425457
2.25,0.9260213632625796
2.26,0.9251139912860266
2.27,0.9242024448617919
2.28,0.9232866687345217
2.29,0.9223666062987331
2.3,0.9214421995508043
2.31,0.9205133890387175
2.32,0.9195801138094053
2.33,0.9186423113535745
2.34,0.9176999175478464
2.35,0.9167528665940542
2.36,0.915801090955525
2.37,0.9148445212901567
2.38,0.9138830863800873
2.39,0.9129167130577499
2.4,0.911945326128066
2.41,0.9109688482865406
2.42,0.9099872000329823
2.43,0.9090002995805556
2.44,0.9080080627598555
2.45,0.9070104029176596
2.46,0.9060072308099952
2.47,0.9049984544891134
2.48,0.903983979183949
2.49,0.9029637071735875
2.5,0.9019375376532365
2.51,0.9009053665921336
2.52,0.8998670865828082
2.53,0.8988225866810184
2.54,0.8977717522356485
2.55,0.8967144647077933
2.56,0.89565060147815
2.57,0.8945800356417893
2.58,0.8935026357892658
2.59,0.8924182657729359
