lambda,V14_pu
0.0,1.2006866331275348
0.01,1.1987481103587658
0.02,1.196798765895084
0.03,1.1948384839396327
0.04,1.1928671463698879
0.05,1.1908846326740368
0.06,1.188890819885146
0.07,1.1868855825128677
0.08,1.1848687924727648
0.09,1.182840319012994
0.1,1.1808000286382805
0.11,1.1787477850311
0.12,1.1766834489698854
0.13,1.1746068782441623
0.14,1.1725179275663897
0.15,1.1704164484805242
0.16,1.1683022894230335
0.17,1.166175294867273
0.18,1.1640353066642233
0.19,1.1621618582205115
0.2,1.1607849840330942
0.21,1.1594013023738936
0.22,1.1580107512242013
0.23,1.1566132674799463
0.24,1.1552087869261727
0.25,1.1537972442106628
0.26,1.1523785728167828
0.27,1.1509527050475183
0.28,1.1495195719395275
0.29,1.1480791033382127
0.3,1.1466312277764135
0.31,1.145340584661694
0.32,1.1442178452645513
0.33,1.143090744220921
0.34,1.1419592513981878
0.35,1.1408233362655598
0.36,1.1396829678870077
0.37,1.1385381149140281
0.38,1.1373887455782499
0.39,1.1362348276838667
0.4,1.1350763285998853
0.41,1.1339132152521993
0.42,1.1327454541154551
0.43,1.1315730112047577
0.44,1.1303958520671369
0.45,1.1292139417728366
0.46,1.128027244906382
0.47,1.1268357255574262
0.48,1.1256393473113808
0.49,1.1244380732398045
0.5,1.12323186589056
0.51,1.12202068727772
0.52,1.1208044988712373
0.53,1.1195832615863182
0.54,1.118356935772572
0.55,1.1171254812028424
0.56,1.1158888570617818
0.57,1.114647021934119
0.58,1.1133999337926146
0.59,1.1121475499857194
0.6,1.1108898272248997
0.61,1.1096267215716273
0.62,1.1083581884240181
0.63,1.1070841825031392
0.64,1.1058046578389196
0.65,1.1045195677556894
0.66,1.1032288648573698
0.67,1.1019759788663028
0.68,1.1008455702014226
0.69,1.0997105641245095
0.7,1.0985709266150319
0.71,1.097426623180213
0.72,1.0962776188461254
0.73,1.095123878148529
0.74,1.0939653651235268
0.75,1.0928020433780643
0.76,1.0916338757011042
0.77,1.0904608247496448
0.78,1.0892828524384437
0.79,1.0883811400666197
0.8,1.0878240211738177
0.81,1.0872657894219242
0.82,1.0867064405170197
0.83,1.0861459701307492
0.84,1.0855843738999575
0.85,1.0850216474263277
0.86,1.0844577862760112
0.87,1.0838927859792493
0.88,1.0833266420300003
0.89,1.0827593498855455
0.9,1.0821909049661018
0.91,1.0816213026544252
0.92,1.0810505382954085
0.93,1.0804786071956705
0.94,1.079905504623142
0.95,1.079331225806648
0.96,1.0787557659354785
0.97,1.078179120158958
0.98,1.0776012835860032
0.99,1.0770222512846805
1.0,1.0764420182817538
1.01,1.0758605795622225
1.02,1.07527793006886
1.03,1.0746940647017376
1.04,1.074108978317747
1.05,1.0735226657301118
1.06,1.0729083577140635
1.07,1.072280200168785
1.08,1.0716503969901343
1.09,1.071018938396264
1.1,1.070385814485083
1.11,1.0697510152321827
1.12,1.0691145304887246
1.13,1.068476349970155
1.14,1.0678364632843704
1.15,1.0671948598902543
1.16,1.066551529118266
1.17,1.0657706262642102
1.18,1.064985002358251
1.19,1.0641963663848242
1.2,1.0632739553591035
1.21,1.0622143886755921
1.22,1.0611494868084501
1.23,1.0600791795965847
1.24,1.0590033950752522
1.25,1.0579220597263743
1.26,1.0568350980608703
1.27,1.0535493718789868
1.28,1.0497507984911087
1.29,1.0459048867502339
1.3,1.0420101047066246
1.31,1.0380648357166078
1.32,1.0340673716986952
1.33,1.0300159057516474
1.34,1.0259085239895407
1.35,1.0217431964897579
1.36,1.0175177672334852
1.37,1.0132299429943161
1.38,1.0088772805147244
1.39,1.0044571728773866
1.4,0.9999668328705138
1.41,0.9954032774225849
1.42,0.9907633047544514
1.43,0.9860434732333531
1.44,0.9812400750701122
1.45,0.9763491066727138
1.46,0.971366234620385
1.47,0.9662867564411943
1.48,0.9611055551897233
1.49,0.9558170465842796
1.5,0.9504151171586688
1.51,0.944893051489659
1.52,0.9392434460468968
1.53,0.933458106533223
1.54,0.9275279246785899
1.55,0.9214427292300448
1.56,0.915191104213102
1.57,0.9087601652312842
1.58,0.9021352813260962
1.59,0.8952997252843187
1.6,0.888234228536839
1.61,0.880916406787487
1.62,0.8733200073281859
1.63,0.8654139038989764
1.64,0.8571607354606421
1.65,0.8485150011598738
1.66,0.8394203480265573
1.67,0.8298055671726562
1.68,0.8195784667873967
1.69,0.8086160574126405
1.7,0.7967479101368478
1.71,0.7837257973099807
1.72,0.7691626010936768
1.73,0.7523909475870326
1.74,0.7320558633125177
1.75,0.7043246854494696
