lambda,V14_pu
0.0,1.2062314551794937
0.01,1.2040527292358898
0.02,1.2018601743674884
0.03,1.1996536240814712
0.04,1.1974329081020418
0.05,1.1951978522534246
0.06,1.192948278338161
0.07,1.1906840040104134
0.08,1.1884048426440637
0.09,1.1861106031953275
0.1,1.1838010900595985
0.11,1.1814761029222405
0.12,1.1791354366029885
0.13,1.1767788808936621
0.14,1.1744062203887815
0.15,1.1720172343087605
0.16,1.1696116963152392
0.17,1.1671893744160176
0.18,1.1647500302793818
0.19,1.162356482245371
0.2,1.160889522104581
0.21,1.1594143608735281
0.22,1.1579309160900373
0.23,1.1564391036041177
0.24,1.1549388377077026
0.25,1.1534300309510679
0.26,1.15191259414262
0.27,1.1504692744759442
0.28,1.1491874292044475
0.29,1.1478994871765964
0.3,1.1466053981057946
0.31,1.1453051108999641
0.32,1.1439985736443172
0.33,1.14268573358365
0.34,1.1413665371041601
0.35,1.1400409297147194
0.36,1.1387088560276317
0.37,1.1373702597388318
0.38,1.136025083607499
0.39,1.1346732694351098
0.4,1.133314758043846
0.41,1.1319494892543656
0.42,1.13057740186296
0.43,1.129198433617957
0.44,1.1278125211954817
0.45,1.1264196001744515
0.46,1.1250196050108066
0.47,1.1236124690109766
0.48,1.1221981243044916
0.49,1.1207765018157914
0.5,1.1193475312350922
0.51,1.1179111409884068
0.52,1.116467258206545
0.53,1.1150158086931812
0.54,1.1135567168918699
0.55,1.1120899058519826
0.56,1.1106152971935617
0.57,1.1091328110710046
0.58,1.1076423661355543
0.59,1.1061438794965266
0.6,1.1046372666812594
0.61,1.1031224415939038
0.62,1.1016300891758966
0.63,1.1003774409738778
0.64,1.099118728971141
0.65,1.0978539013217492
0.66,1.0965829053396998
0.67,1.0953056874805056
0.68,1.0940221933948975
0.69,1.0927323675611675
0.7,1.091436153917551
0.71,1.0901334952600028
0.72,1.0895170657939182
0.73,1.0889316959958741
0.74,1.0883449930664748
0.75,1.0877569509410507
0.76,1.0871675634960485
0.77,1.086576824548274
0.78,1.085984727854126
0.79,1.0853912671088155
0.8,1.0847964359455706
0.81,1.0842002279348257
0.82,1.0836026365833953
0.83,1.0830036553336442
0.84,1.0824032775626244
0.85,1.0818014965812126
0.86,1.0811983056332228
0.87,1.0805936978945063
0.88,1.0799876664720374
0.89,1.0793802044029734
0.9,1.0787713046537106
0.91,1.0781609601189122
0.92,1.0775491636205234
0.93,1.076935907906766
0.94,1.0763211856511146
0.95,1.0757049894512571
0.96,1.0750873118280273
0.97,1.074468145224326
0.98,1.0738474820040205
0.99,1.0732253144508144
1.0,1.0726016347671081
1.01,1.07197643507283
1.02,1.071349707404243
1.03,1.0707214437127348
1.04,1.0700916358635835
1.05,1.0694602756346925
1.06,1.0688273547153044
1.07,1.0681367171275502
1.08,1.0673490637839937
1.09,1.0665589170608094
1.1,1.0657662602661921
1.11,1.0648360364544356
1.12,1.0638278878172456
1.13,1.062701165261058
1.14,1.061568104411254
1.15,1.060428610962646
1.16,1.0592825880329606
1.17,1.0581299360620546
1.18,1.0544791938677354
1.19,1.0500186691799542
1.2,1.0454910367122126
1.21,1.0408936451396313
1.22,1.0362236633392667
1.23,1.0314780627876283
1.24,1.0266535978048938
1.25,1.0217467831548603
1.26,1.016753868641123
1.27,1.0116708100900742
1.28,1.0064932361449228
1.29,1.001216409495462
1.3,0.9958351845285305
1.31,0.9903439538999963
1.32,0.9847365900641483
1.33,0.9790063749179545
1.34,0.9731459171220521
1.35,0.9671470539339061
1.36,0.9610007338546783
1.37,0.9546968753002842
1.38,0.9482241950272488
1.39,0.9415699980097756
1.4,0.9347199176290164
1.41,0.9276575910203544
1.42,0.9203642486414568
1.43,0.9128181886347059
1.44,0.9049940938315425
1.45,0.8968621297152812
1.46,0.8883867308806876
1.47,0.8795249335506601
1.48,0.8702240260648426
1.49,0.8604181508423596
1.5,0.8500232002938951
1.51,0.8389288576047315
1.52,0.826985522830944
1.53,0.8139814360982793
1.54,0.799599167111156
1.55,0.7833228168422761
1.56,0.7642035233177372
1.57,0.7400705324069712
1.58,0.7022613765530861
