lambda,V14_pu
0.0,1.12919174971518
0.01,1.128711406277872
0.02,1.1282302041410148
0.03,1.1277481409147694
0.04,1.1272652141924202
0.05,1.1267814215502363
0.06,1.126296760547344
0.07,1.1258112287255875
0.08,1.1253248236093945
0.09,1.1248375427056374
0.1,1.1243493835034917
0.11,1.1238603434742984
0.12,1.1233704200714159
0.13,1.1228796107300771
0.14,1.1223879128672443
0.15,1.1218953238814582
0.16,1.1214018411526891
0.17,1.1209074620421844
0.18,1.1204121838923127
0.19,1.119916004026413
0.2,1.1194189197486324
0.21,1.1189209283437684
0.22,1.118422027077108
0.23,1.117922213194262
0.24,1.1174214839210035
0.25,1.1169198364630955
0.26,1.1164172680061277
0.27,1.1159137757153363
0.28,1.1154093567354408
0.29,1.114904008190461
0.3,1.1143977271835395
0.31,1.1138905107967638
0.32,1.1133823560909861
0.33,1.1128732601056324
0.34,1.11236321985852
0.35,1.1118522323456697
0.36,1.1113402945411102
0.37,1.1108274033966854
0.38,1.1103135558418615
0.39,1.1097987487835235
0.4,1.109282979105775
0.41,1.1087662436697385
0.42,1.108248539313341
0.43,1.1077298628511152
0.44,1.1072102110739783
0.45,1.1066895807490238
0.46,1.1061679686193018
0.47,1.1056453714035999
0.48,1.1051217857962212
0.49,1.1045972084667552
0.5,1.1040716360598568
0.51,1.1035450651950067
0.52,1.1030174924662846
0.53,1.1024889144421233
0.54,1.1019593276650776
0.55,1.1014287286515743
0.56,1.1008971138916666
0.57,1.100364479848788
0.58,1.0998308229594944
0.59,1.0992961396332077
0.6,1.0987604262519606
0.61,1.0982236791701285
0.62,1.0976858947141646
0.63,1.0971470691823315
0.64,1.096607198844421
0.65,1.0960662799414833
0.66,1.0955243086855426
0.67,1.0949812812593127
0.68,1.094437193815906
0.69,1.0938920424785459
0.7,1.0933458233402633
0.71,1.0927985324636005
0.72,1.0922501658803043
0.73,1.0917007195910193
0.74,1.0911501895649707
0.75,1.0905985717396507
0.76,1.0900458620204936
0.77,1.0894920562805523
0.78,1.0889371503601646
0.79,1.0883811400666197
0.8,1.0878240211738177
0.81,1.0872657894219242
0.82,1.0867064405170197
0.83,1.0861459701307492
0.84,1.0855843738999575
0.85,1.0850216474263277
0.86,1.0844577862760112
0.87,1.0838927859792493
0.88,1.0833266420300003
0.89,1.0827593498855455
0.9,1.0821909049661018
0.91,1.0816213026544252
0.92,1.0810505382954085
0.93,1.0804786071956705
0.94,1.079905504623142
0.95,1.079331225806648
0.96,1.0787557659354785
0.97,1.078179120158958
0.98,1.0776012835860032
0.99,1.0770222512846805
1.0,1.0764420182817538
1.01,1.0758605795622225
1.02,1.07527793006886
1.03,1.0746940647017376
1.04,1.074108978317747
1.05,1.0735226657301118
1.06,1.0729351217078957
1.07,1.0723463409754987
1.08,1.0717563182121486
1.09,1.0711650480513832
1.1,1.0705725250805278
1.11,1.0699787438401598
1.12,1.0693836988235679
1.13,1.0687873844762055
1.14,1.0681897951951271
1.15,1.067590925328429
1.16,1.0669907691746674
1.17,1.0663893209822786
1.18,1.0657865749489805
1.19,1.0651825252211775
1.2,1.0645771658933405
1.21,1.0639704910073882
1.22,1.063362494552057
1.23,1.0627531704622522
1.24,1.0621425126184056
1.25,1.061530514845803
1.26,1.0609171709139187
1.27,1.0603024745357248
1.28,1.0596864193670017
1.29,1.0590689990056252
1.3,1.0584502069908517
1.31,1.0578300368025895
1.32,1.0572084818606537
1.33,1.056585535524011
1.34,1.0559611910900175
1.35,1.0553354417936356
1.36,1.05470828080664
1.37,1.0540797012368133
1.38,1.0534496961271296
1.39,1.0528182584549157
1.4,1.0521853811310051
1.41,1.0515510569988784
1.42,1.0509152788337832
1.43,1.0502780393418463
1.44,1.0496393311591599
1.45,1.0489991468508677
1.46,1.048357478910217
1.47,1.0477143197576115
1.48,1.0470696617396316
1.49,1.0464234971280513
1.5,1.0457758181188286
1.51,1.045126616831083
1.52,1.0444758853060505
1.53,1.043823615506026
1.54,1.0431697993132798
1.55,1.042514428528958
1.56,1.0418574948719663
1.57,1.0411989899778278
1.58,1.0405389053975203
1.59,1.0398772325962995
1.6,1.0392139629524928
1.61,1.038549087756271
1.62,1.0378825982084052
1.63,1.0372144854189904
1.64,1.0365447404061534
1.65,1.035873354094731
1.66,1.0352003173149265
1.67,1.034525620800939
1.68,1.0338492551895644
1.69,1.0331712110187838
1.7,1.0324914787262978
1.71,1.03181004864806
1.72,1.0311269110167645
1.73,1.0304420559603145
1.74,1.0297554735002554
1.75,1.0290671535501739
1.76,1.0283770859140773
1.77,1.0276852602847284
1.78,1.0269916662419531
1.79,1.0262962932509174
1.8,1.02559913066036
1.81,1.0249001677008016
1.82,1.0241993934827078
1.83,1.023496796994619
1.84,1.0227923671012427
1.85,1.0220860925415052
1.86,1.0213779619265664
1.87,1.0206679637377847
1.88,1.019956086324653
1.89,1.019242317902676
1.9,1.018526646551221
1.91,1.0178090602113046
1.92,1.0170895466833438
1.93,1.016368093624861
1.94,1.015644688548131
1.95,1.0149193188177823
1.96,1.014191971648349
1.97,1.013462634101762
1.98,1.0127312930847951
1.99,1.0119979353464477
2.0,1.0112625474752708
2.01,1.0105251158966373
2.02,1.0097856268699472
2.03,1.0090440664857752
2.04,1.0083004206629473
2.05,1.0075546751455566
2.06,1.006806815499911
2.07,1.0060568271114059
2.08,1.0053046951813343
2.09,1.0045504047236116
2.1,1.0037939405614358
2.11,1.0030352873238617
2.12,1.0022744294422963
2.13,1.0015113511469151
2.14,1.0007460364629879
2.15,0.9999784692071206
2.16,0.9992086329834092
2.17,0.9984365111794908
2.18,0.997662086962513
2.19,0.9968853432749911
2.2,0.9961062628305766
2.21,0.9953248281097081
2.22,0.9945410213551679
2.23,0.9937548245675137
2.24,0.9929662195004089
2.25,0.9921751876558261
2.26,0.9913817102791317
2.27,0.9905857683540461
2.28,0.989787342597469
2.29,0.9889864134541825
2.3,0.9881829610914017
2.31,0.9873769653931955
2.32,0.986568405954751
2.33,0.9857572620764945
2.34,0.9849435127580503
2.35,0.9841271366920371
2.36,0.983308112257702
2.37,0.9824864175143789
2.38,0.9816620301651885
2.39,0.9808349276652291
2.4,0.9800050870463183
2.41,0.97917248501902
2.42,0.9783370979384652
2.43,0.9774989017966512
2.44,0.9766578722145104
2.45,0.975813984433754
2.46,0.9749672133084918
2.47,0.974117533296592
2.48,0.9732649184508076
2.49,0.9724093424096276
